# HAND DATA FORMAT 1.0
board_size: 3
board: 3h 5d Td
pot_oop: 20
pot_ip: 20
current_player: 0

# PLAYER: OOP
hands_count: 190
hand,card1,card2,weight,equity,ev
5c4c,8,12,258.000000,0.544887,4.715809
Ac4c,8,48,244.000000,0.436502,3.049629
Ad4d,9,49,246.000000,0.655471,29.376307
5h4h,10,14,259.000000,0.566117,7.116682
Ah4h,10,50,245.000000,0.464028,5.497056
5s4s,11,15,258.000000,0.544887,4.715809
As4s,11,51,244.000000,0.436502,3.049629
6c5c,12,16,254.000000,0.549413,4.500748
7c5c,12,20,254.000000,0.543508,3.867219
8c5c,12,24,252.000000,0.538751,3.486284
Ac5c,12,48,242.000000,0.561958,4.356070
6h5h,14,18,255.000000,0.571260,6.870253
7h5h,14,22,255.000000,0.565724,6.001008
8h5h,14,26,253.000000,0.561754,5.410873
Ah5h,14,50,244.000000,0.587885,7.140169
6s5s,15,19,254.000000,0.549413,4.500748
7s5s,15,23,254.000000,0.543508,3.867219
8s5s,15,27,252.000000,0.538751,3.486284
As5s,15,51,242.000000,0.561958,4.356070
6d6c,16,17,253.000000,0.564730,4.045807
6h6c,16,18,252.000000,0.536863,2.922321
6s6c,16,19,252.000000,0.534881,2.918102
7c6c,16,20,252.000000,0.297633,2.570430
8c6c,16,24,251.000000,0.191935,-0.170928
9c6c,16,28,251.000000,0.208043,-0.051115
6h6d,17,18,253.000000,0.566705,4.129962
6s6d,17,19,253.000000,0.564730,4.045807
7d6d,17,21,255.000000,0.537831,17.576042
8d6d,17,25,253.000000,0.475003,11.140618
9d6d,17,29,253.000000,0.487633,11.524635
6s6h,18,19,252.000000,0.536863,2.922321
7h6h,18,22,252.000000,0.328948,3.685959
8h6h,18,26,251.000000,0.228772,0.343195
9h6h,18,30,251.000000,0.244396,0.442518
7s6s,19,23,252.000000,0.297633,2.570430
8s6s,19,27,251.000000,0.191935,-0.170928
9s6s,19,31,251.000000,0.208043,-0.051115
