# HAND DATA FORMAT 1.0
board_size: 3
board: 3h 5d Td
pot_oop: 30
pot_ip: 20
current_player: 1

# PLAYER: OOP
hands_count: 190
hand,card1,card2,weight,equity,ev
5c4c,8,12,109.318504,0.544887,13.475966
Ac4c,8,48,108.844643,0.436502,11.733006
Ad4d,9,49,141.522293,0.655471,41.688862
5h4h,10,14,126.031563,0.566117,16.484192
Ah4h,10,50,89.467644,0.464028,14.024536
5s4s,11,15,109.318504,0.544887,13.475966
As4s,11,51,108.844643,0.436502,11.733006
6c5c,12,16,103.654533,0.549413,13.244554
7c5c,12,20,111.241035,0.543508,12.507893
8c5c,12,24,110.497627,0.538751,12.033970
Ac5c,12,48,92.846115,0.561958,13.360703
6h5h,14,18,113.492058,0.571260,16.178858
7h5h,14,22,112.854561,0.565724,15.161016
8h5h,14,26,97.707123,0.561754,14.271531
Ah5h,14,50,105.152382,0.587885,16.420776
6s5s,15,19,103.654533,0.549413,13.244554
7s5s,15,23,111.241035,0.543508,12.507893
8s5s,15,27,110.497627,0.538751,12.033970
As5s,15,51,92.846115,0.561958,13.360703
6d6c,16,17,102.168526,0.564730,12.618983
6h6c,16,18,122.259369,0.536863,11.640059
6s6c,16,19,108.756477,0.534881,11.558662
7c6c,16,20,128.246826,0.297633,11.431017
8c6c,16,24,161.753387,0.191935,9.508293
9c6c,16,28,144.091339,0.208043,9.556304
6h6d,17,18,102.509041,0.566705,12.701034
6s6d,17,19,102.168526,0.564730,12.618983
7d6d,17,21,169.481384,0.537831,28.065216
8d6d,17,25,102.512482,0.475003,20.919197
9d6d,17,29,136.017120,0.487633,21.312809
6s6h,18,19,122.259369,0.536863,11.640059
7h6h,18,22,107.809090,0.328948,11.963528
8h6h,18,26,157.018478,0.228772,9.959906
9h6h,18,30,142.970169,0.244396,10.004275
7s6s,19,23,128.246826,0.297633,11.431017
8s6s,19,27,161.753387,0.191935,9.508293
9s6s,19,31,144.091339,0.208043,9.556304
7d7c,20,21,92.949646,0.584165,12.714389
7h7c,20,22,105.354156,0.559233,11.975723
7s7c,20,23,104.321472,0.557395,11.891877
8c7c,20,24,140.099640,0.200738,9.513141
9c7c,20,28,136.729141,0.217985,9.605764
7h7d,21,22,94.525536,0.585988,12.820178
7s7d,21,23,92.949646,0.584165,12.714389
8d7d,21,25,102.416550,0.480878,20.970003
9d7d,21,29,162.458588,0.494118,21.457035
7s7h,22,23,105.354156,0.559233,11.975723
8h7h,22,26,141.413818,0.237432,9.972463
9h7h,22,30,139.370529,0.254123,10.067982
8s7s,23,27,140.099640,0.200738,9.513141
9s7s,23,31,136.729141,0.217985,9.605764
8d8c,24,25,79.951653,0.603539,12.726233
8h8c,24,26,86.616264,0.577198,12.004066
8s8c,24,27,87.147293,0.575137,11.904491
9c8c,24,28,134.629013,0.224616,9.620067
Ac8c,24,48,112.681709,0.369847,9.336505
8h8d,25,26,80.077950,0.605592,12.822392
8s8d,25,27,79.951653,0.603539,12.726233
9d8d,25,29,167.081604,0.502082,22.245737
Ad8d,25,49,224.831589,0.621407,33.175659
8s8h,26,27,86.616264,0.577198,12.004066
9h8h,26,30,135.268494,0.260960,10.108343
Ah8h,26,50,144.707382,0.401926,10.263509
9s8s,27,31,134.629013,0.224616,9.620067
As8s,27,51,112.681709,0.369847,9.336505
9d9c,28,29,66.602112,0.634945,13.727146
9h9c,28,30,65.862007,0.609307,12.650707
9s9c,28,31,64.658554,0.607271,12.510650
Kc9c,28,44,168.439316,0.278049,9.534908
Ac9c,28,48,114.437027,0.381279,9.417956
9h9d,29,30,67.327721,0.636973,13.867649
9s9d,29,31,66.602112,0.634945,13.727146
Kd9d,29,45,228.867142,0.549689,26.910027
Ad9d,29,49,183.440826,0.629324,33.171021
9s9h,30,31,65.862007,0.609307,12.650707
Kh9h,30,46,143.905426,0.314487,10.232449
Ah9h,30,50,133.024841,0.412868,10.374615
Ks9s,31,47,168.439316,0.278049,9.534908
As9s,31,51,114.437027,0.381279,9.417956
ThTc,32,34,99.610725,0.922703,73.489548
TsTc,32,35,100.155800,0.921685,73.459549
JcTc,32,36,110.046326,0.695446,19.846992
QcTc,32,40,108.705093,0.701402,21.421614
KcTc,32,44,107.821983,0.706127,22.053356
AcTc,32,48,148.520401,0.730507,28.720730
TsTh,34,35,99.610725,0.922703,73.489548
JhTh,34,38,110.785652,0.712492,23.812071
QhTh,34,42,120.580902,0.718590,24.728266
KhTh,34,46,133.729294,0.723864,24.930794
AhTh,34,50,138.652100,0.748886,31.687775
JsTs,35,39,110.046326,0.695446,19.846992
QsTs,35,43,108.705093,0.701402,21.421614
KsTs,35,47,107.821983,0.706127,22.053356
AsTs,35,51,148.520401,0.730507,28.720730
JdJc,36,37,149.571213,0.748553,35.176056
