# HAND DATA FORMAT 1.0
board_size: 3
board: 3h 5d Td
pot_oop: 40
pot_ip: 64
current_player: 0

# PLAYER: OOP
hands_count: 190
hand,card1,card2,weight,equity,ev
5c4c,8,12,47.827385,0.503925,2.979020
Ac4c,8,48,48.040550,0.403667,-0.567086
Ad4d,9,49,58.356190,0.634021,50.954533
5h4h,10,14,55.766514,0.524005,8.106946
Ah4h,10,50,39.641891,0.430165,2.567111
5s4s,11,15,47.827385,0.503925,2.979020
As4s,11,51,48.040550,0.403667,-0.567086
6c5c,12,16,45.637318,0.506155,2.356945
7c5c,12,20,48.891575,0.497883,1.042255
8c5c,12,24,48.814468,0.490872,0.173743
Ac5c,12,48,40.461498,0.507560,1.301206
6h5h,14,18,50.395302,0.526317,7.230278
7h5h,14,22,50.089642,0.518104,5.220596
8h5h,14,26,43.539051,0.511821,3.453115
Ah5h,14,50,46.390358,0.533486,6.314088
6s5s,15,19,45.637318,0.506155,2.356945
7s5s,15,23,48.891575,0.497883,1.042255
8s5s,15,27,48.814468,0.490872,0.173743
As5s,15,51,40.461498,0.507560,1.301206
6d6c,16,17,45.107704,0.500448,-0.127685
6h6c,16,18,54.902008,0.473857,-0.359091
6s6c,16,19,48.882801,0.473015,-0.361972
7c6c,16,20,57.399914,0.275577,-0.866301
8c6c,16,24,72.654213,0.167774,-0.698497
9c6c,16,28,64.799782,0.175837,-0.745732
6h6d,17,18,45.214809,0.501313,-0.120411
6s6d,17,19,45.107704,0.500448,-0.127685
7d6d,17,21,73.840652,0.502939,25.395618
8d6d,17,25,44.807518,0.435882,12.042815
9d6d,17,29,59.525890,0.442179,12.283124
6s6h,18,19,54.902008,0.473857,-0.359091
7h6h,18,22,48.266468,0.306367,-0.724515
8h6h,18,26,70.389465,0.204297,-0.789424
9h6h,18,30,64.192429,0.211910,-0.822005
7s6s,19,23,57.399914,0.275577,-0.866301
8s6s,19,27,72.654213,0.167774,-0.698497
9s6s,19,31,64.799782,0.175837,-0.745732
7d7c,20,21,41.085728,0.512647,-0.451113
7h7c,20,22,47.123093,0.486149,-0.377477
7s7c,20,23,46.589954,0.485187,-0.383197
8c7c,20,24,62.718948,0.171662,-0.741648
9c7c,20,28,61.287262,0.181047,-0.785512
7h7d,21,22,41.835854,0.513609,-0.422394
7s7d,21,23,41.085728,0.512647,-0.451113
8d7d,21,25,44.956470,0.441176,12.199495
9d7d,21,29,71.368935,0.448274,12.575152
7s7h,22,23,47.123093,0.486149,-0.377477
8h7h,22,26,63.349991,0.207814,-0.833311
9h7h,22,30,62.534588,0.216602,-0.867798
8s7s,23,27,62.718948,0.171662,-0.741648
9s7s,23,31,61.287262,0.181047,-0.785512
8d8c,24,25,35.633728,0.525172,-0.535199
8h8c,24,26,38.870838,0.496251,-0.368641
8s8c,24,27,39.161961,0.496172,-0.366366
9c8c,24,28,60.553471,0.183913,-0.814125
Ac8c,24,48,50.127754,0.330744,-0.820393
8h8d,25,26,35.640892,0.525319,-0.541171
8s8d,25,27,35.633728,0.525172,-0.535199
9d8d,25,29,73.826508,0.454718,13.712067
Ad8d,25,49,94.196976,0.590108,36.372845
8s8h,26,27,38.870838,0.496251,-0.368641
9h8h,26,30,60.730003,0.219276,-0.904934
Ah8h,26,50,64.499290,0.360647,-0.737901
9s8s,27,31,60.553471,0.183913,-0.814125
As8s,27,51,50.127754,0.330744,-0.820393
9d9c,28,29,29.721165,0.544903,0.103436
9h9c,28,30,29.614853,0.516321,-0.553429
9s9c,28,31,29.106808,0.516294,-0.550144
Kc9c,28,44,75.544357,0.232802,-0.835789
Ac9c,28,48,50.976700,0.341221,-0.838158
9h9d,29,30,30.015104,0.544997,0.125348
9s9d,29,31,29.721165,0.544903,0.103436
Kd9d,29,45,98.347847,0.500267,22.858311
Ad9d,29,49,76.885651,0.595597,36.427933
9s9h,30,31,29.614853,0.516321,-0.553429
Kh9h,30,46,64.254356,0.267958,-0.953270
Ah9h,30,50,59.391872,0.370310,-0.734779
Ks9s,31,47,75.544357,0.232802,-0.835789
As9s,31,51,50.976700,0.341221,-0.838158
ThTc,32,34,42.637684,0.908750,108.367233
TsTc,32,35,42.818020,0.908004,108.073517
JcTc,32,36,47.028282,0.592864,8.157356
QcTc,32,40,46.177601,0.597423,10.441423
KcTc,32,44,46.973793,0.596317,10.601142
AcTc,32,48,64.548698,0.633617,23.894512
TsTh,34,35,42.637684,0.908750,108.367233
JhTh,34,38,47.353539,0.613966,15.663735
QhTh,34,42,51.271221,0.618941,16.587784
KhTh,34,46,58.256500,0.616907,15.550380
AhTh,34,50,60.490074,0.653797,28.770058
JsTs,35,39,47.028282,0.592864,8.157356
QsTs,35,43,46.177601,0.597423,10.441423
KsTs,35,47,46.973793,0.596317,10.601142
AsTs,35,51,64.548698,0.633617,23.894512
JdJc,36,37,63.488747,0.665630,37.814655
JhJc,36,38,69.812241,0.639802,32.673809
JsJc,36,39,70.769005,0.638348,32.521286
QcJc,36,40,70.174049,0.239270,-1.807212
KcJc,36,44,69.575356,0.279051,-1.109299
AcJc,36,48,59.142689,0.391342,-0.752063
AdJc,36,49,54.796463,0.432461,0.300985
AhJc,36,50,57.631824,0.391801,-0.726143
AsJc,36,51,59.148136,0.391342,-0.752062
JhJd,37,38,62.672970,0.667061,37.965240
JsJd,37,39,63.488747,0.665630,37.814655
QdJd,37,41,82.804787,0.496365,26.521301
KdJd,37,45,70.799049,0.526591,27.813345
AcJd,37,48,55.057114,0.421808,-0.834853
AdJd,37,49,56.241669,0.627293,41.814674
AhJd,37,50,56.594925,0.422342,-0.763521
AsJd,37,51,55.057114,0.421808,-0.834853
JsJh,38,39,69.812241,0.639802,32.673809
QhJh,38,42,64.560448,0.274235,-1.728094
KhJh,38,46,58.059528,0.312089,-0.930307
AcJh,38,48,55.749851,0.391794,-0.775905
AdJh,38,49,55.410519,0.432975,0.283771
AhJh,38,50,53.194992,0.418762,-0.616834
AsJh,38,51,55.749851,0.391794,-0.775905
QsJs,39,43,70.174049,0.239270,-1.807212
KsJs,39,47,69.575356,0.279051,-1.109299
AcJs,39,48,59.148136,0.391342,-0.752062
AdJs,39,49,54.796463,0.432461,0.300985
AhJs,39,50,57.631824,0.391801,-0.726143
AsJs,39,51,59.142689,0.391342,-0.752063
QdQc,40,41,63.265011,0.730160,56.737988
QhQc,40,42,68.408653,0.702979,51.518562
QsQc,40,43,69.184387,0.701936,51.617554
KcQc,40,44,61.387913,0.326579,-0.913202
KdQc,40,45,58.407761,0.357214,-0.769022
KhQc,40,46,62.608250,0.326904,-0.924584
KsQc,40,47,61.430977,0.326579,-0.913183
AcQc,40,48,50.485867,0.434551,-0.490182
AdQc,40,49,47.570175,0.473783,1.396782
AhQc,40,50,53.236885,0.435286,-0.468220
AsQc,40,51,50.452900,0.434551,-0.490178
QhQd,41,42,62.104164,0.731267,56.641834
QsQd,41,43,63.265011,0.730160,56.737988
KcQd,41,44,59.593765,0.360902,-0.897071
KdQd,41,45,65.858139,0.555825,29.659578
KhQd,41,46,60.805614,0.361272,-0.840901
KsQd,41,47,59.593765,0.360902,-0.897071
AcQd,41,48,43.695320,0.467018,0.706936
AdQd,41,49,55.531246,0.655564,43.909885
AhQd,41,50,47.691730,0.467783,0.797255
AsQd,41,51,43.695320,0.467018,0.706936
QsQh,42,43,68.408653,0.702979,51.518562
KcQh,42,44,62.325607,0.327143,-1.008244
KdQh,42,45,58.972733,0.357826,-0.762092
KhQh,42,46,58.488354,0.357389,-0.874905
KsQh,42,47,62.325607,0.327143,-1.008244
AcQh,42,48,50.687298,0.435757,-0.517857
AdQh,42,49,48.014107,0.475066,1.477784
AhQh,42,50,43.392887,0.461044,0.515680
AsQh,42,51,50.687298,0.435757,-0.517857
KcQs,43,44,61.430977,0.326579,-0.913183
KdQs,43,45,58.407761,0.357214,-0.769022
KhQs,43,46,62.608250,0.326904,-0.924584
KsQs,43,47,61.387913,0.326579,-0.913202
AcQs,43,48,50.452900,0.434551,-0.490178
AdQs,43,49,47.570175,0.473783,1.396782
AhQs,43,50,53.236885,0.435286,-0.468220
AsQs,43,51,50.485867,0.434551,-0.490182
KdKc,44,45,64.379227,0.761018,65.845299
KhKc,44,46,72.471642,0.731671,60.740189
KsKc,44,47,74.412941,0.730850,60.948696
AcKc,44,48,44.338615,0.459702,-0.336246
AdKc,44,49,40.896946,0.498187,1.556935
AhKc,44,50,44.508213,0.460691,-0.322544
AsKc,44,51,40.674210,0.459802,-0.336907
KhKd,45,46,62.230228,0.761974,65.665298
KsKd,45,47,64.379227,0.761018,65.845299
AcKd,45,48,36.967075,0.489857,0.849277
AdKd,45,49,47.963081,0.665724,41.678509
AhKd,45,50,38.359058,0.490803,0.938343
AsKd,45,51,36.967075,0.489857,0.849277
KsKh,46,47,72.471642,0.731671,60.740189
AcKh,46,48,43.053150,0.460753,-0.314078
AdKh,46,49,41.610897,0.499260,1.688657
AhKh,46,50,35.349846,0.484773,1.242919
AsKh,46,51,43.053150,0.460753,-0.314078
AcKs,47,48,40.674210,0.459802,-0.336907
AdKs,47,49,40.896946,0.498187,1.556935
AhKs,47,50,44.508213,0.460691,-0.322544
AsKs,47,51,44.338615,0.459702,-0.336246
AdAc,48,49,60.934383,0.810537,72.438591
AhAc,48,50,67.237503,0.769807,64.406487
AsAc,48,51,67.354515,0.767113,64.056320
AhAd,49,50,57.041504,0.813092,72.737938
AsAd,49,51,60.934383,0.810537,72.438591
AsAh,50,51,67.237503,0.769807,64.406487

# PLAYER: IP
hands_count: 271
hand,card1,card2,weight,equity,ev
2d2c,0,1,40.677586,0.462220,34.821892
2h2c,0,2,41.974197,0.440212,34.647057
2s2c,0,3,42.060558,0.439349,34.625740
Ac2c,0,48,29.053822,0.406136,34.585819
2h2d,1,2,40.174431,0.463083,34.843163
2s2d,1,3,40.677586,0.462220,34.821892
Ad2d,1,49,85.018768,0.639382,71.575668
2s2h,2,3,41.974197,0.440212,34.647057
Ah2h,2,50,16.157040,0.435644,34.785622
As2s,3,51,29.053822,0.406136,34.585819
3d3c,4,5,98.545975,0.901050,117.989304
3s3c,4,7,98.544090,0.898083,117.321198
5c3c,4,12,96.488869,0.804113,93.328285
Ac3c,4,48,24.809151,0.501693,33.976688
3s3d,5,7,98.545975,0.901050,117.989304
Ad3d,5,49,74.004265,0.709997,72.213379
5s3s,7,15,96.488869,0.804113,93.328285
As3s,7,51,24.809151,0.501693,33.976688
4d4c,8,9,39.405830,0.481158,35.176792
4h4c,8,10,41.143726,0.460862,34.882309
4s4c,8,11,40.517696,0.459469,34.758347
5c4c,8,12,14.265266,0.519837,34.661465
6c4c,8,16,2.218029,0.396132,36.344200
Ac4c,8,48,25.306023,0.420796,34.777168
4h4d,9,10,39.707737,0.482529,35.298584
4s4d,9,11,39.405830,0.481158,35.176792
6d4d,9,17,85.208298,0.592234,63.449265
Ad4d,9,49,84.615807,0.647397,73.017220
4s4h,10,11,41.143726,0.460862,34.882309
5h4h,10,14,5.127731,0.543957,37.462471
6h4h,10,18,0.116933,0.421567,39.740677
Ah4h,10,50,11.225736,0.449544,35.136726
5s4s,11,15,14.265266,0.519837,34.661465
6s4s,11,19,2.218029,0.396132,36.344200
As4s,11,51,25.306023,0.420796,34.777168
5h5c,12,14,94.273262,0.897500,117.068626
5s5c,12,15,94.378799,0.896734,117.616486
6c5c,12,16,7.528774,0.520733,34.230865
7c5c,12,20,24.272858,0.513473,34.251350
Kc5c,12,44,14.875436,0.527431,34.659836
Ac5c,12,48,14.939449,0.541252,34.761642
5s5h,14,15,94.273262,0.897500,117.068626
6h5h,14,18,4.282479,0.545915,36.560345
7h5h,14,22,7.042007,0.538664,35.553169
Kh5h,14,46,4.430298,0.555210,37.156593
Ah5h,14,50,4.239263,0.567222,38.495071
6s5s,15,19,7.528774,0.520733,34.230865
7s5s,15,23,24.272858,0.513473,34.251350
Ks5s,15,47,14.875436,0.527431,34.659836
As5s,15,51,14.939449,0.541252,34.761642
6d6c,16,17,32.022949,0.533295,34.844559
6h6c,16,18,36.109085,0.507159,34.083767
6s6c,16,19,34.522888,0.505320,33.971863
7c6c,16,20,25.075708,0.290875,34.167168
8c6c,16,24,25.284966,0.187275,32.948994
9c6c,16,28,25.590046,0.209185,32.938683
Kc6c,16,44,28.270849,0.247856,33.383797
Ac6c,16,48,27.380068,0.334950,33.088478
6h6d,17,18,33.249149,0.535126,34.964264
6s6d,17,19,32.022949,0.533295,34.844559
7d6d,17,21,34.671810,0.529016,51.345119
8d6d,17,25,7.900221,0.467926,40.532326
9d6d,17,29,13.773070,0.487814,42.366364
Kd6d,17,45,63.556061,0.526710,51.582695
Ad6d,17,49,81.581161,0.598317,61.657394
6s6h,18,19,36.109085,0.507159,34.083767
7h6h,18,22,23.044254,0.322526,34.643898
8h6h,18,26,28.945723,0.224845,33.346031
9h6h,18,30,29.385262,0.246265,33.363342
Kh6h,18,46,32.170811,0.285525,34.023396
Ah6h,18,50,31.112522,0.369780,33.878727
7s6s,19,23,25.075708,0.290875,34.167168
8s6s,19,27,25.284966,0.187275,32.948994
9s6s,19,31,25.590046,0.209185,32.938683
Ks6s,19,47,28.270849,0.247856,33.383797
As6s,19,51,27.380068,0.334950,33.088478
7d7c,20,21,35.448517,0.550546,35.083946
7h7c,20,22,36.875008,0.524857,34.199856
7s7c,20,23,37.067215,0.522974,34.111115
8c7c,20,24,25.312498,0.196311,33.002922
9c7c,20,28,26.048962,0.220623,33.050941
Tc7c,20,32,13.955403,0.628528,39.668617
Kc7c,20,44,27.914907,0.239236,33.377693
Ac7c,20,48,27.527582,0.335913,33.133923
7h7d,21,22,32.633114,0.552407,35.193523
7s7d,21,23,35.448517,0.550546,35.083946
8d7d,21,25,7.797611,0.475832,40.732903
9d7d,21,29,9.203085,0.495915,42.446625
Kd7d,21,45,60.228760,0.521419,50.355228
Ad7d,21,49,82.139336,0.598847,61.590897
7s7h,22,23,36.875008,0.524857,34.199856
8h7h,22,26,29.195419,0.233707,33.439072
9h7h,22,30,29.955511,0.257103,33.496876
Th7h,22,34,3.815224,0.649525,44.445538
Kh7h,22,46,31.979696,0.277225,34.010216
Ah7h,22,50,31.290613,0.370472,33.921524
8s7s,23,27,25.312498,0.196311,33.002922
9s7s,23,31,26.048962,0.220623,33.050941
Ts7s,23,35,13.955403,0.628528,39.668617
Ks7s,23,47,27.914907,0.239236,33.377693
As7s,23,51,27.527582,0.335913,33.133923
8d8c,24,25,23.680082,0.569498,35.179115
8h8c,24,26,26.775902,0.540753,33.781624
8s8c,24,27,27.790085,0.538884,33.749386
9c8c,24,28,24.834585,0.227383,32.889626
Tc8c,24,32,14.479193,0.621356,38.495518
Jc8c,24,36,30.502806,0.228744,33.756889
Qc8c,24,40,27.990101,0.217167,33.368328
Kc8c,24,44,26.225485,0.227496,33.143864
Ac8c,24,48,27.076429,0.334418,33.023972
8h8d,25,26,22.438961,0.571368,35.198112
8s8d,25,27,23.680082,0.569498,35.179115
9d8d,25,29,8.714464,0.505754,43.637444
Jd8d,25,37,28.581556,0.509193,46.766350
Qd8d,25,41,33.220802,0.504226,46.603081
Kd8d,25,45,75.639893,0.519826,51.070076
Ad8d,25,49,82.480141,0.599348,60.783863
8s8h,26,27,26.775902,0.540753,33.781624
9h8h,26,30,28.280416,0.263675,33.293884
Th8h,26,34,4.750267,0.642864,42.509113
Jh8h,26,38,33.553719,0.265771,34.282841
Qh8h,26,42,31.426023,0.255503,33.956524
Kh8h,26,46,29.792759,0.266372,33.697002
Ah8h,26,50,30.312128,0.368525,33.764153
9s8s,27,31,24.834585,0.227383,32.889626
Ts8s,27,35,14.479193,0.621356,38.495518
Js8s,27,39,30.502806,0.228744,33.756889
Qs8s,27,43,27.990101,0.217167,33.368328
Ks8s,27,47,26.225485,0.227496,33.143864
As8s,27,51,27.076429,0.334418,33.023972
9d9c,28,29,17.406456,0.596792,35.629642
9h9c,28,30,18.900621,0.568580,33.949234
9s9c,28,31,21.245420,0.566460,33.899254
Tc9c,28,32,16.920387,0.620910,38.414913
Jc9c,28,36,31.341612,0.241226,33.863754
Qc9c,28,40,28.873213,0.230021,33.462925
Kc9c,28,44,28.636393,0.247999,33.403938
Ac9c,28,48,27.805647,0.349157,33.056244
9h9d,29,30,16.591240,0.598927,35.688877
9s9d,29,31,17.406456,0.596792,35.629642
Jd9d,29,37,29.827414,0.517630,48.617424
Qd9d,29,41,36.869598,0.512958,48.556320
Kd9d,29,45,76.560577,0.530305,51.810223
Ad9d,29,49,78.580780,0.607466,59.486038
9s9h,30,31,18.900621,0.568580,33.949234
Th9h,30,34,5.482078,0.642610,42.567432
Jh9h,30,38,34.284191,0.277484,34.395111
Qh9h,30,42,32.204380,0.267495,34.065918
Kh9h,30,46,31.621561,0.285866,33.948238
Ah9h,30,50,31.006763,0.382498,33.785580
Ts9s,31,35,16.920387,0.620910,38.414913
Js9s,31,39,31.341612,0.241226,33.863754
