# HAND DATA FORMAT 1.0
board_size: 3
board: 3h 5d Td
pot_oop: 141
pot_ip: 88
current_player: 1

# PLAYER: OOP
hands_count: 190
hand,card1,card2,weight,equity,ev
5c4c,8,12,16.980783,0.503925,83.699242
Ac4c,8,48,10.857731,0.403667,75.209366
Ad4d,9,49,57.295258,0.634021,128.013306
5h4h,10,14,30.083174,0.524005,88.980507
Ah4h,10,50,12.996276,0.430165,81.144691
5s4s,11,15,16.980783,0.503925,83.699242
As4s,11,51,10.857731,0.403667,75.209366
6c5c,12,16,14.788610,0.506155,82.367958
7c5c,12,20,14.464418,0.497883,79.862686
8c5c,12,24,11.874260,0.490872,77.349915
Ac5c,12,48,12.737955,0.507560,80.476112
6h5h,14,18,25.133430,0.526317,87.883682
7h5h,14,22,21.811102,0.518104,85.761330
8h5h,14,26,13.491208,0.511821,83.522270
Ah5h,14,50,24.358662,0.533486,86.745682
6s5s,15,19,14.788610,0.506155,82.367958
7s5s,15,23,14.464418,0.497883,79.862686
8s5s,15,27,11.874260,0.490872,77.349915
As5s,15,51,12.737955,0.507560,80.476112
6d6c,16,17,10.771589,0.500448,76.326324
6h6c,16,18,3.013909,0.473857,70.681633
6s6c,16,19,2.697025,0.473015,70.692017
7c6c,16,20,8.149819,0.275577,72.617981
8c6c,16,24,5.589687,0.167774,67.921013
9c6c,16,28,5.276381,0.175837,67.841583
6h6d,17,18,10.689834,0.501313,76.303764
6s6d,17,19,10.771589,0.500448,76.326324
7d6d,17,21,56.681999,0.502939,102.735619
8d6d,17,25,23.442064,0.435882,90.202148
9d6d,17,29,32.668987,0.442179,90.223373
6s6h,18,19,3.013909,0.473857,70.681633
7h6h,18,22,8.705832,0.306367,73.603371
8h6h,18,26,6.621638,0.204297,68.608253
9h6h,18,30,6.269411,0.211910,68.583496
7s6s,19,23,8.149819,0.275577,72.617981
8s6s,19,27,5.589687,0.167774,67.921013
9s6s,19,31,5.276381,0.175837,67.841583
7d7c,20,21,8.491251,0.512647,74.517921
7h7c,20,22,2.236436,0.486149,69.260269
7s7c,20,23,2.200346,0.485187,69.182594
8c7c,20,24,4.950200,0.171662,67.603333
9c7c,20,28,5.119948,0.181047,67.597198
7h7d,21,22,8.566360,0.513609,74.561913
7s7d,21,23,8.491251,0.512647,74.517921
8d7d,21,25,23.943468,0.441176,90.535950
9d7d,21,29,40.288483,0.448274,90.714088
7s7h,22,23,2.236436,0.486149,69.260269
8h7h,22,26,6.178988,0.207814,68.456490
9h7h,22,30,6.365440,0.216602,68.474686
8s7s,23,27,4.950200,0.171662,67.603333
9s7s,23,31,5.119948,0.181047,67.597198
8d8c,24,25,6.234639,0.525172,73.134026
8h8c,24,26,1.508139,0.496251,67.585213
8s8c,24,27,1.530477,0.496172,67.728424
9c8c,24,28,5.154272,0.183913,67.435486
Ac8c,24,48,4.120237,0.330743,67.018906
8h8d,25,26,6.186554,0.525319,73.007004
8s8d,25,27,6.234639,0.525172,73.134026
9d8d,25,29,42.737576,0.454718,92.016212
Ad8d,25,49,91.306839,0.590108,113.570786
8s8h,26,27,1.508139,0.496251,67.585213
9h8h,26,30,6.158165,0.219276,68.075813
Ah8h,26,50,5.649621,0.360647,68.600540
9s8s,27,31,5.154272,0.183913,67.435486
As8s,27,51,4.120237,0.330743,67.018906
9d9c,28,29,5.700731,0.544903,74.078598
9h9c,28,30,1.953068,0.516321,68.252861
9s9c,28,31,1.930903,0.516294,68.385757
Kc9c,28,44,6.027544,0.232802,66.524895
Ac9c,28,48,4.181337,0.341221,66.781616
9h9d,29,30,5.740783,0.544997,73.975479
9s9d,29,31,5.700731,0.544903,74.078598
Kd9d,29,45,93.342239,0.500267,100.048157
Ad9d,29,49,74.870476,0.595597,113.586090
9s9h,30,31,1.953068,0.516321,68.252861
Kh9h,30,46,6.732322,0.267958,67.901840
Ah9h,30,50,5.129200,0.370310,68.491867
Ks9s,31,47,6.027544,0.232802,66.524895
As9s,31,51,4.181337,0.341221,66.781616
ThTc,32,34,25.285898,0.908750,180.485992
TsTc,32,35,25.998581,0.908004,180.484177
JcTc,32,36,31.557995,0.592864,85.746178
QcTc,32,40,33.993816,0.597423,87.681808
KcTc,32,44,33.444065,0.596317,87.554214
AcTc,32,48,63.795261,0.633617,101.176712
TsTh,34,35,25.285898,0.908750,180.485992
JhTh,34,38,35.008137,0.613966,92.084000
QhTh,34,42,40.243969,0.618941,93.517654
KhTh,34,46,30.155718,0.616907,92.949585
AhTh,34,50,60.172276,0.653797,105.742722
JsTs,35,39,31.557995,0.592864,85.746178
QsTs,35,43,33.993816,0.597423,87.681808
KsTs,35,47,33.444065,0.596317,87.554214
AsTs,35,51,63.795261,0.633617,101.176712
JdJc,36,37,63.488747,0.665630,114.814651
JhJc,36,38,69.812241,0.639802,109.673813
JsJc,36,39,70.769005,0.638348,109.521286
QcJc,36,40,15.711436,0.239270,70.596741
KcJc,36,44,8.452375,0.279051,67.868851
AcJc,36,48,4.981349,0.391342,68.280434
AdJc,36,49,16.503765,0.432461,78.092796
AhJc,36,50,4.939851,0.391801,68.706619
AsJc,36,51,4.981716,0.391342,68.280464
JhJd,37,38,62.672970,0.667061,114.965240
JsJd,37,39,63.488747,0.665630,114.814651
QdJd,37,41,77.670616,0.496365,103.596512
KdJd,37,45,67.002106,0.526591,104.876251
AcJd,37,48,11.276481,0.421808,73.735809
AdJd,37,49,55.674442,0.627293,118.833961
AhJd,37,50,11.517767,0.422342,74.084023
AsJd,37,51,11.276481,0.421808,73.735809
JsJh,38,39,69.812241,0.639802,109.673813
QhJh,38,42,15.923875,0.274235,71.975258
KhJh,38,46,5.467144,0.312089,69.495407
AcJh,38,48,4.785097,0.391794,68.179039
AdJh,38,49,16.771765,0.432975,77.976624
AhJh,38,50,7.302867,0.418762,72.880798
AsJh,38,51,4.785097,0.391794,68.179039
QsJs,39,43,15.711436,0.239270,70.596741
KsJs,39,47,8.452375,0.279051,67.868851
AcJs,39,48,4.981716,0.391342,68.280464
AdJs,39,49,16.503765,0.432461,78.092796
AhJs,39,50,4.939851,0.391801,68.706619
AsJs,39,51,4.981349,0.391342,68.280434
QdQc,40,41,63.265011,0.730160,133.737991
QhQc,40,42,68.408653,0.702979,128.518570
QsQc,40,43,69.184387,0.701936,128.617554
KcQc,40,44,6.198952,0.326579,68.820038
KdQc,40,45,11.242745,0.357214,74.510902
KhQc,40,46,6.343866,0.326904,69.019836
KsQc,40,47,6.202758,0.326579,68.820320
AcQc,40,48,4.538333,0.434551,71.794891
AdQc,40,49,15.797352,0.473783,80.531357
AhQc,40,50,4.876193,0.435286,72.111778
AsQc,40,51,4.535257,0.434551,71.794952
QhQd,41,42,62.104164,0.731267,133.641830
QsQd,41,43,63.265011,0.730160,133.737991
KcQd,41,44,10.983834,0.360902,73.663879
KdQd,41,45,63.267788,0.555825,106.646461
KhQd,41,46,11.273865,0.361272,73.822876
KsQd,41,47,10.983834,0.360902,73.663879
AcQd,41,48,13.883928,0.467018,79.288040
AdQd,41,49,55.070896,0.655564,120.909042
AhQd,41,50,15.082161,0.467783,79.482452
AsQd,41,51,13.883928,0.467018,79.288040
QsQh,42,43,68.408653,0.702979,128.518570
KcQh,42,44,6.426370,0.327143,68.944717
KdQh,42,45,11.456552,0.357826,74.549431
KhQh,42,46,5.520122,0.357389,70.963585
KsQh,42,47,6.426370,0.327143,68.944717
AcQh,42,48,5.008307,0.435757,71.973419
AdQh,42,49,16.114166,0.475066,80.657127
AhQh,42,50,12.870848,0.461044,78.518890
AsQh,42,51,5.008307,0.435757,71.973419
KcQs,43,44,6.202758,0.326579,68.820320
KdQs,43,45,11.242745,0.357214,74.510902
KhQs,43,46,6.343866,0.326904,69.019836
KsQs,43,47,6.198952,0.326579,68.820038
AcQs,43,48,4.535257,0.434551,71.794952
AdQs,43,49,15.797352,0.473783,80.531357
AhQs,43,50,4.876193,0.435286,72.111778
AsQs,43,51,4.538333,0.434551,71.794891
KdKc,44,45,63.948433,0.761018,142.817413
KhKc,44,46,72.471642,0.731671,137.740189
KsKc,44,47,74.412941,0.730850,137.948700
AcKc,44,48,3.021565,0.459702,72.271011
AdKc,44,49,12.072252,0.498187,80.333824
AhKc,44,50,3.160158,0.460691,72.626266
AsKc,44,51,2.871727,0.459802,72.421700
KhKd,45,46,61.614849,0.761974,142.621902
KsKd,45,47,63.948433,0.761018,142.817413
AcKd,45,48,11.668073,0.489857,79.095825
AdKd,45,49,47.435410,0.665724,118.648735
AhKd,45,50,11.771404,0.490803,79.286896
AsKd,45,51,11.668073,0.489857,79.095825
KsKh,46,47,72.471642,0.731671,137.740189
AcKh,46,48,3.105279,0.460753,72.823929
AdKh,46,49,12.351171,0.499260,80.653763
AhKh,46,50,10.958117,0.484773,80.050369
AsKh,46,51,3.105279,0.460753,72.823929
AcKs,47,48,2.871727,0.459802,72.421700
AdKs,47,49,12.072252,0.498187,80.333824
