# HAND DATA FORMAT 1.0
board_size: 3
board: 3h 5d Td
pot_oop: 20
pot_ip: 20
current_player: 1

# PLAYER: OOP
hands_count: 190
hand,card1,card2,weight,equity,ev
5c4c,8,12,148.681488,0.544887,5.627407
Ac4c,8,48,135.155365,0.436502,4.109943
Ad4d,9,49,104.477699,0.655471,26.243792
5h4h,10,14,132.968445,0.566117,7.716173
Ah4h,10,50,155.532364,0.464028,6.344100
5s4s,11,15,148.681488,0.544887,5.627407
As4s,11,51,135.155365,0.436502,4.109943
6c5c,12,16,150.345474,0.549413,5.366821
7c5c,12,20,142.758957,0.543508,4.926438
8c5c,12,24,141.502380,0.538751,4.620382
Ac5c,12,48,149.153900,0.561958,4.975671
6h5h,14,18,141.507935,0.571260,7.424765
7h5h,14,22,142.145447,0.565724,6.667910
8h5h,14,26,155.292892,0.561754,6.127723
Ah5h,14,50,138.847626,0.587885,7.684982
6s5s,15,19,150.345474,0.549413,5.366821
7s5s,15,23,142.758957,0.543508,4.926438
8s5s,15,27,141.502380,0.538751,4.620382
As5s,15,51,149.153900,0.561958,4.975671
6d6c,16,17,150.831497,0.564730,5.012292
6h6c,16,18,129.740646,0.536863,4.130644
6s6c,16,19,143.243515,0.534881,3.950245
7c6c,16,20,123.753189,0.297633,3.751218
8c6c,16,24,89.246597,0.191935,0.410462
9c6c,16,28,106.908676,0.208043,0.478004
6h6d,17,18,150.490952,0.566705,5.103297
6s6d,17,19,150.831497,0.564730,5.012292
7d6d,17,21,85.518631,0.537831,16.606586
8d6d,17,25,150.487534,0.475003,11.291450
9d6d,17,29,116.982895,0.487633,11.770925
6s6h,18,19,129.740646,0.536863,4.130644
7h6h,18,22,144.190903,0.328948,4.973793
8h6h,18,26,93.981552,0.228772,0.983572
9h6h,18,30,108.029846,0.244396,1.022504
7s6s,19,23,123.753189,0.297633,3.751218
8s6s,19,27,89.246597,0.191935,0.410462
9s6s,19,31,106.908676,0.208043,0.478004
7d7c,20,21,161.050354,0.584165,5.241117
7h7c,20,22,146.645859,0.559233,4.290000
7s7c,20,23,147.678543,0.557395,4.239690
8c7c,20,24,110.900383,0.200738,0.457257
9c7c,20,28,114.270851,0.217985,0.602454
7h7d,21,22,159.474472,0.585988,5.351687
7s7d,21,23,161.050354,0.584165,5.241117
8d7d,21,25,151.583466,0.480878,11.463455
9d7d,21,29,91.541420,0.494118,12.037382
7s7h,22,23,146.645859,0.559233,4.290000
8h7h,22,26,109.586212,0.237432,1.049485
9h7h,22,30,111.629486,0.254123,1.223428
8s7s,23,27,110.900383,0.200738,0.457257
9s7s,23,31,114.270851,0.217985,0.602454
8d8c,24,25,171.048340,0.603539,5.661032
8h8c,24,26,163.383759,0.577198,4.412720
8s8c,24,27,162.852707,0.575137,4.302102
9c8c,24,28,115.370995,0.224616,0.751259
Ac8c,24,48,126.318298,0.369847,1.085085
8h8d,25,26,170.922043,0.605592,5.817248
8s8d,25,27,171.048340,0.603539,5.661032
9d8d,25,29,84.918419,0.502082,12.810963
Ad8d,25,49,16.168400,0.621407,19.618549
8s8h,26,27,163.383759,0.577198,4.412720
9h8h,26,30,114.731506,0.260960,1.380399
Ah8h,26,50,95.292603,0.401926,1.846292
9s8s,27,31,115.370995,0.224616,0.751259
As8s,27,51,126.318298,0.369847,1.085085
9d9c,28,29,184.397903,0.634945,6.963013
9h9c,28,30,184.138000,0.609307,5.577064
9s9c,28,31,185.341461,0.607271,5.484442
Kc9c,28,44,75.560692,0.278049,0.851355
Ac9c,28,48,124.562996,0.381279,1.216779
9h9d,29,30,183.672272,0.636973,7.034890
9s9d,29,31,184.397903,0.634945,6.963013
Kd9d,29,45,18.132858,0.549689,15.057148
Ad9d,29,49,57.559174,0.629324,19.924068
9s9h,30,31,184.138000,0.609307,5.577064
Kh9h,30,46,100.094589,0.314487,1.725651
Ah9h,30,50,106.975166,0.412868,2.041118
Ks9s,31,47,75.560692,0.278049,0.851355
As9s,31,51,124.562996,0.381279,1.216779
ThTc,32,34,148.389267,0.922703,51.418076
TsTc,32,35,147.844223,0.921685,51.642632
JcTc,32,36,134.953690,0.695446,12.668386
QcTc,32,40,136.294907,0.701402,11.553948
KcTc,32,44,135.178024,0.706127,11.353666
AcTc,32,48,89.479584,0.730507,14.547022
TsTh,34,35,148.389267,0.922703,51.418076
