# HAND DATA FORMAT 1.0
board_size: 3
board: 3h 5d Td
pot_oop: 20
pot_ip: 30
current_player: 0

# PLAYER: OOP
hands_count: 190
hand,card1,card2,weight,equity,ev
5c4c,8,12,67.206215,0.606025,4.506269
Ac4c,8,48,62.016815,0.511994,3.209137
Ad4d,9,49,45.997246,0.702116,27.703371
5h4h,10,14,60.375408,0.623281,7.283565
Ah4h,10,50,71.474518,0.537235,5.933184
5s4s,11,15,67.206215,0.606025,4.506269
As4s,11,51,62.016815,0.511994,3.209137
6c5c,12,16,67.033684,0.607400,4.014675
7c5c,12,20,63.801888,0.600604,3.508161
8c5c,12,24,62.809807,0.594292,2.877211
Ac5c,12,48,67.485802,0.612670,2.771028
6h5h,14,18,63.574512,0.626229,6.838377
7h5h,14,22,64.010086,0.619526,5.625079
8h5h,14,26,69.497780,0.614419,4.507210
Ah5h,14,50,63.206142,0.635542,6.202661
6s5s,15,19,67.033684,0.607400,4.014675
7s5s,15,23,63.801888,0.600604,3.508161
8s5s,15,27,62.809807,0.594292,2.877211
As5s,15,51,67.485802,0.612670,2.771028
6d6c,16,17,68.112503,0.606230,2.580859
6h6c,16,18,58.023865,0.578553,1.861139
6s6c,16,19,63.846809,0.575575,1.529331
7c6c,16,20,55.348015,0.305762,2.449996
8c6c,16,24,39.706329,0.199721,1.081503
9c6c,16,28,47.694935,0.221947,1.100104
6h6d,17,18,68.186325,0.609100,2.697662
6s6d,17,19,68.112503,0.606230,2.580859
7d6d,17,21,39.451439,0.541218,17.254637
8d6d,17,25,70.060654,0.476083,10.265780
9d6d,17,29,54.493378,0.492484,10.948285
6s6h,18,19,58.023865,0.578553,1.861139
7h6h,18,22,64.884560,0.337208,3.979175
8h6h,18,26,42.134674,0.236885,1.295291
9h6h,18,30,48.593651,0.258739,1.306917
7s6s,19,23,55.348015,0.305762,2.449996
8s6s,19,27,39.706329,0.199721,1.081503
9s6s,19,31,47.694935,0.221947,1.100104
7d7c,20,21,73.197647,0.614755,2.405010
7h7c,20,22,65.759621,0.589315,1.518363
7s7c,20,23,66.005486,0.586431,1.422071
8c7c,20,24,49.402515,0.208156,1.083384
9c7c,20,28,51.010632,0.230884,1.112497
7h7d,21,22,72.717171,0.617516,2.559807
7s7d,21,23,73.197647,0.614755,2.405010
8d7d,21,25,70.915260,0.484128,10.447831
9d7d,21,29,42.843918,0.500473,11.090966
7s7h,22,23,65.759621,0.589315,1.518363
8h7h,22,26,49.178734,0.245256,1.293046
9h7h,22,30,50.250996,0.267933,1.330157
8s7s,23,27,49.402515,0.208156,1.083384
9s7s,23,31,51.010632,0.230884,1.112497
8d8c,24,25,77.946365,0.622706,2.191285
8h8c,24,26,71.864105,0.592749,0.554201
8s8c,24,27,71.323502,0.588744,0.422215
9c8c,24,28,50.989468,0.233595,1.019690
Ac8c,24,48,56.871479,0.458515,1.508177
8h8d,25,26,78.219505,0.626427,2.418136
