# HAND DATA FORMAT 1.0
board_size: 3
board: 3h 5d Td
pot_oop: 64
pot_ip: 40
current_player: 1

# PLAYER: OOP
hands_count: 190
hand,card1,card2,weight,equity,ev
5c4c,8,12,8.408895,0.606025,43.832684
Ac4c,8,48,10.491396,0.511994,43.387207
Ad4d,9,49,26.654371,0.702116,59.918205
5h4h,10,14,4.679734,0.623281,43.625210
Ah4h,10,50,11.015070,0.537235,44.029999
5s4s,11,15,8.408895,0.606025,43.832684
As4s,11,51,10.491396,0.511994,43.387207
6c5c,12,16,8.137500,0.607400,43.613716
7c5c,12,20,9.841334,0.600604,43.845440
8c5c,12,24,10.489462,0.594292,43.505367
Ac5c,12,48,7.491724,0.612670,42.045902
6h5h,14,18,4.409801,0.626229,43.145554
7h5h,14,22,5.055730,0.619526,42.611145
8h5h,14,26,6.285954,0.614419,42.314064
Ah5h,14,50,5.289135,0.635542,42.908909
6s5s,15,19,8.137500,0.607400,43.613716
7s5s,15,23,9.841334,0.600604,43.845440
8s5s,15,27,10.489462,0.594292,43.505367
As5s,15,51,7.491724,0.612670,42.045902
6d6c,16,17,7.512533,0.606230,42.685341
6h6c,16,18,9.963086,0.578553,42.475040
6s6c,16,19,11.442455,0.575575,42.191292
7c6c,16,20,8.761216,0.305762,43.828968
8c6c,16,24,5.489705,0.199721,41.825302
9c6c,16,28,6.680276,0.221947,41.856060
6h6d,17,18,7.689326,0.609100,42.869316
6s6d,17,19,7.512533,0.606230,42.685341
7d6d,17,21,33.309425,0.541218,50.768822
8d6d,17,25,6.739238,0.476083,44.347450
9d6d,17,29,4.458226,0.492484,44.305672
6s6h,18,19,9.963086,0.578553,42.475040
7h6h,18,22,11.735412,0.337208,44.162540
8h6h,18,26,6.612371,0.236885,42.255711
9h6h,18,30,7.683747,0.258739,42.266075
7s6s,19,23,8.761216,0.305762,43.828968
8s6s,19,27,5.489705,0.199721,41.825302
9s6s,19,31,6.680276,0.221947,41.856060
7d7c,20,21,5.638116,0.614755,40.676109
7h7c,20,22,9.365177,0.589315,41.571552
7s7c,20,23,9.292625,0.586431,41.435265
8c7c,20,24,6.917572,0.208156,41.742130
9c7c,20,28,7.286346,0.230884,41.790615
7h7d,21,22,6.061378,0.617516,40.865532
7s7d,21,23,5.638116,0.614755,40.676109
8d7d,21,25,5.066749,0.484128,44.412640
9d7d,21,29,3.251782,0.500473,44.349987
7s7h,22,23,9.365177,0.589315,41.571552
8h7h,22,26,7.768951,0.245256,42.188320
9h7h,22,30,8.133969,0.267933,42.218765
8s7s,23,27,6.917572,0.208156,41.742130
9s7s,23,31,7.286346,0.230884,41.790615
8d8c,24,25,2.799567,0.622706,39.154613
8h8c,24,26,1.718888,0.592749,39.387833
8s8c,24,27,1.817339,0.588744,39.292038
9c8c,24,28,7.085657,0.233595,41.338440
Ac8c,24,48,12.267458,0.458515,40.991852
8h8d,25,26,2.887134,0.626427,39.253071
8s8d,25,27,2.799567,0.622706,39.154613
9d8d,25,29,2.756952,0.505270,44.356369
Ad8d,25,49,5.288787,0.682695,53.160664
8s8h,26,27,1.718888,0.592749,39.387833
9h8h,26,30,8.163203,0.271114,41.782192
Ah8h,26,50,7.540698,0.490343,41.611584
9s8s,27,31,7.085657,0.233595,41.338440
As8s,27,51,12.267458,0.458515,40.991852
9d9c,28,29,1.528616,0.641995,38.063259
9h9c,28,30,1.161015,0.615165,36.487530
9s9c,28,31,1.237092,0.610869,36.338989
Kc9c,28,44,4.804816,0.312722,40.805054
Ac9c,28,48,12.503957,0.469969,41.086849
9h9d,29,30,1.620978,0.645990,38.250053
9s9d,29,31,1.528616,0.641995,38.063259
Kd9d,29,45,2.476968,0.569208,44.920017
Ad9d,29,49,14.283039,0.688949,53.130005
9s9h,30,31,1.161015,0.615165,36.487530
Kh9h,30,46,9.304303,0.351530,41.191513
Ah9h,30,50,9.627654,0.502242,41.672310
Ks9s,31,47,4.804816,0.312722,40.805054
As9s,31,51,12.503957,0.469969,41.086849
ThTc,32,34,60.504089,0.926349,95.276924
TsTc,32,35,60.357834,0.926134,95.627304
JcTc,32,36,10.909237,0.678374,37.759590
QcTc,32,40,41.888985,0.685671,39.019085
KcTc,32,44,42.285767,0.681479,36.796116
AcTc,32,48,35.166813,0.698393,43.895222
TsTh,34,35,60.504089,0.926349,95.276924
JhTh,34,38,36.598427,0.698545,40.613762
QhTh,34,42,40.870548,0.706252,42.310616
KhTh,34,46,32.792301,0.703627,40.456062
AhTh,34,50,37.863430,0.719319,46.752125
JsTs,35,39,10.909237,0.678374,37.759590
QsTs,35,43,41.888985,0.685671,39.019085
KsTs,35,47,42.285767,0.681479,36.796116
AsTs,35,51,35.166813,0.698393,43.895222
JdJc,36,37,36.663811,0.708156,45.331200
JhJc,36,38,30.882050,0.684977,41.756142
JsJc,36,39,30.078508,0.681988,41.637230
QcJc,36,40,6.478828,0.298410,42.589008
KcJc,36,44,7.331338,0.361853,40.638836
AcJc,36,48,8.135045,0.515110,40.943996
AdJc,36,49,10.315841,0.560774,45.245525
AhJc,36,50,9.299979,0.519551,41.321144
AsJc,36,51,8.135486,0.515110,40.944214
JhJd,37,38,37.575352,0.711026,45.438587
JsJd,37,39,36.663811,0.708156,45.331200
QdJd,37,41,18.783659,0.555563,48.258137
KdJd,37,45,19.825228,0.598948,46.277874
AcJd,37,48,11.298078,0.548465,42.648239
AdJd,37,49,23.411222,0.715670,54.221275
AhJd,37,50,10.874659,0.552674,42.962803
AsJd,37,51,11.298078,0.548465,42.648239
JsJh,38,39,30.882050,0.684977,41.756142
QhJh,38,42,8.100537,0.335006,42.934353
KhJh,38,46,8.573440,0.398210,41.129829
AcJh,38,48,9.646614,0.518381,41.056168
AdJh,38,49,10.876020,0.564006,45.332172
AhJh,38,50,9.486047,0.545276,41.688419
AsJh,38,51,9.646614,0.518381,41.056168
QsJs,39,43,6.478828,0.298410,42.589008
KsJs,39,47,7.331338,0.361853,40.638836
AcJs,39,48,8.135486,0.515110,40.944214
AdJs,39,49,10.315841,0.560774,45.245525
AhJs,39,50,9.299979,0.519551,41.321144
AsJs,39,51,8.135045,0.515110,40.943996
QdQc,40,41,36.452179,0.766400,55.873978
QhQc,40,42,31.836283,0.742877,52.617611
QsQc,40,43,31.180227,0.739805,52.517517
KcQc,40,44,8.681246,0.425666,41.787373
KdQc,40,45,10.288709,0.468777,43.860538
KhQc,40,46,8.355276,0.430406,41.994049
KsQc,40,47,8.671774,0.425666,41.790237
AcQc,40,48,10.883268,0.559389,42.228848
AdQc,40,49,12.341355,0.604255,46.599430
AhQc,40,50,9.839033,0.563865,42.504139
AsQc,40,51,11.013331,0.559389,42.192726
QhQd,41,42,37.522640,0.769325,55.950977
QsQd,41,43,36.452179,0.766400,55.873978
KcQd,41,44,10.130594,0.465025,43.708992
KdQd,41,45,19.768600,0.642045,47.540585
KhQd,41,46,10.094810,0.469527,43.899845
KsQd,41,47,10.130594,0.465025,43.708992
AcQd,41,48,11.908380,0.594382,44.054447
AdQd,41,49,30.990780,0.745171,55.603310
AhQd,41,50,11.437152,0.598624,44.332096
AsQd,41,51,11.908380,0.594382,44.054447
QsQh,42,43,31.836283,0.742877,52.617611
KcQh,42,44,8.434620,0.428957,41.930267
KdQh,42,45,10.229956,0.471832,43.980049
KhQh,42,46,8.853228,0.459664,42.349274
KsQh,42,47,8.434620,0.428957,41.930267
AcQh,42,48,10.823084,0.562800,42.331703
AdQh,42,49,12.308829,0.607600,46.691689
AhQh,42,50,9.995260,0.587796,42.951981
AsQh,42,51,10.823084,0.562800,42.331703
KcQs,43,44,8.671774,0.425666,41.790237
KdQs,43,45,10.288709,0.468777,43.860538
KhQs,43,46,8.355276,0.430406,41.994049
KsQs,43,47,8.681246,0.425666,41.787373
AcQs,43,48,11.013331,0.559389,42.192726
AdQs,43,49,12.341355,0.604255,46.599430
AhQs,43,50,9.839033,0.563865,42.504139
AsQs,43,51,10.883268,0.559389,42.228848
KdKc,44,45,35.316204,0.796656,64.068466
KhKc,44,46,28.610918,0.771084,60.402008
KsKc,44,47,26.917757,0.767066,60.419548
AcKc,44,48,10.695054,0.579399,40.370174
AdKc,44,49,13.058690,0.622944,45.038364
AhKc,44,50,11.443308,0.583666,40.833733
AsKc,44,51,11.983406,0.579213,40.526749
KhKd,45,46,37.630707,0.800369,64.031845
KsKd,45,47,35.316204,0.796656,64.068466
AcKd,45,48,11.376104,0.616063,42.589481
AdKd,45,49,39.205513,0.757778,55.795147
AhKd,45,50,10.932245,0.620158,42.853298
AsKd,45,51,11.376104,0.616063,42.589481
KsKh,46,47,28.610918,0.771084,60.402008
AcKh,46,48,11.901961,0.583839,40.661613
AdKh,46,49,12.201930,0.627524,45.196468
AhKh,46,50,10.600962,0.607527,41.468956
AsKh,46,51,11.901961,0.583839,40.661613
AcKs,47,48,11.983406,0.579213,40.526749
AdKs,47,49,13.058690,0.622944,45.038364
AhKs,47,50,11.443308,0.583666,40.833733
AsKs,47,51,10.695054,0.579399,40.370174
AdAc,48,49,30.674185,0.850229,65.239517
AhAc,48,50,30.901608,0.816382,63.521217
AsAc,48,51,30.196632,0.813133,63.627884
AhAd,49,50,35.071167,0.853350,65.102516
AsAd,49,51,30.674185,0.850229,65.239517
AsAh,50,51,30.901608,0.816382,63.521217

# PLAYER: IP
hands_count: 271
hand,card1,card2,weight,equity,ev
2d2c,0,1,5.755529,0.352610,-3.157862
2h2c,0,2,5.546575,0.328263,-4.204624
2s2c,0,3,5.642790,0.327484,-4.246468
Ac2c,0,48,8.057090,0.322985,-1.043526
2h2d,1,2,5.700098,0.353390,-3.084071
2s2d,1,3,5.755529,0.352610,-3.157862
Ad2d,1,49,22.681623,0.572411,42.821491
2s2h,2,3,5.546575,0.328263,-4.204624
Ah2h,2,50,5.629725,0.354257,1.219447
As2s,3,51,8.057090,0.322985,-1.043526
3d3c,4,5,25.206533,0.857558,118.519638
3s3c,4,7,25.189949,0.852545,116.354584
5c3c,4,12,25.638985,0.734355,76.174965
Ac3c,4,48,1.484181,0.387044,-2.898929
3s3d,5,7,25.206533,0.857558,118.519638
Ad3d,5,49,13.544545,0.623295,38.566944
5s3s,7,15,25.638985,0.734355,76.174965
As3s,7,51,1.484181,0.387044,-2.898929
4d4c,8,9,6.451787,0.368649,-2.131576
4h4c,8,10,5.972524,0.345008,-3.654605
4s4c,8,11,6.113579,0.344537,-3.781727
5c4c,8,12,1.819467,0.409406,-0.705072
6c4c,8,16,4.583811,0.368498,12.071105
Ac4c,8,48,6.255838,0.338152,-0.235671
4h4d,9,10,6.236821,0.369147,-2.067450
4s4d,9,11,6.451787,0.368649,-2.131576
6d4d,9,17,20.214283,0.565406,48.864017
Ad4d,9,49,22.665270,0.581207,45.124149
4s4h,10,11,5.972524,0.345008,-3.654605
5h4h,10,14,2.908178,0.436561,2.595353
6h4h,10,18,4.810540,0.392557,17.287249
Ah4h,10,50,3.951713,0.368427,2.655529
5s4s,11,15,1.819467,0.409406,-0.705072
6s4s,11,19,4.583811,0.368498,12.071105
As4s,11,51,6.255838,0.338152,-0.235671
5h5c,12,14,24.553255,0.851964,116.917328
5s5c,12,15,24.449400,0.850833,117.171646
6c5c,12,16,1.527663,0.405190,-0.567016
7c5c,12,20,4.107847,0.393700,-0.997642
Kc5c,12,44,4.935937,0.399014,-1.934729
Ac5c,12,48,1.139358,0.410553,-3.995581
5s5h,14,15,24.553255,0.851964,116.917328
6h5h,14,18,2.740520,0.432619,2.848562
7h5h,14,22,5.506001,0.422423,1.479361
Kh5h,14,46,3.656115,0.430376,0.863187
Ah5h,14,50,2.048342,0.446842,-0.002621
6s5s,15,19,1.527663,0.405190,-0.567016
7s5s,15,23,4.107847,0.393700,-0.997642
Ks5s,15,47,4.935937,0.399014,-1.934729
As5s,15,51,1.139358,0.410553,-3.995581
6d6c,16,17,1.949429,0.394178,-2.863679
6h6c,16,18,5.948641,0.367957,-2.312714
6s6c,16,19,6.205826,0.366731,-2.369285
7c6c,16,20,11.666689,0.257578,-0.646860
8c6c,16,24,23.322506,0.144808,-0.562478
9c6c,16,28,22.125837,0.152961,-0.566364
Kc6c,16,44,19.685669,0.179669,-0.565858
Ac6c,16,48,15.533910,0.231285,-0.749390
6h6d,17,18,1.764387,0.395470,-2.894288
6s6d,17,19,1.949429,0.394178,-2.863679
7d6d,17,21,7.861392,0.493638,31.087973
8d6d,17,25,1.754236,0.421953,7.684317
9d6d,17,29,1.630063,0.428540,8.039422
Kd6d,17,45,6.416433,0.464484,17.407122
Ad6d,17,49,16.693216,0.514340,24.573816
6s6h,18,19,5.948641,0.367957,-2.312714
7h6h,18,22,9.651687,0.287069,0.505207
8h6h,18,26,22.820566,0.179279,-0.581852
