# HAND DATA FORMAT 1.0
board_size: 3
board: 3d 5s 9d
pot_oop: 20
pot_ip: 20
current_player: 0

# PLAYER: OOP
hands_count: 189
hand,card1,card2,weight,equity,ev
5c4c,8,12,260.000000,0.555738,6.488202
Ac4c,8,48,245.000000,0.424912,5.647718
5d4d,9,13,261.000000,0.712655,19.750183
Ad4d,9,49,247.000000,0.648315,25.580299
5h4h,10,14,260.000000,0.555738,6.488202
Ah4h,10,50,245.000000,0.424912,5.647718
As4s,11,51,247.000000,0.452030,7.983263
6c5c,12,16,256.000000,0.568273,6.294536
7c5c,12,20,256.000000,0.561103,5.812925
8c5c,12,24,254.000000,0.557572,5.693309
Ac5c,12,48,243.000000,0.572206,6.637119
6d5d,13,17,258.000000,0.724227,20.248280
7d5d,13,21,258.000000,0.721531,20.023802
8d5d,13,25,256.000000,0.724144,20.323608
Ad5d,13,49,246.000000,0.758826,27.532618
6h5h,14,18,256.000000,0.568273,6.294536
7h5h,14,22,256.000000,0.561103,5.812925
8h5h,14,26,254.000000,0.557572,5.693309
Ah5h,14,50,243.000000,0.572206,6.637119
6d6c,16,17,255.000000,0.584423,7.049041
6h6c,16,18,254.000000,0.558832,5.518091
6s6c,16,19,255.000000,0.561563,5.745537
7c6c,16,20,254.000000,0.407466,10.935992
8c6c,16,24,253.000000,0.304649,5.116223
9c6c,16,28,254.000000,0.655178,10.758481
6h6d,17,18,255.000000,0.584423,7.049041
6s6d,17,19,256.000000,0.587084,7.337131
7d6d,17,21,256.000000,0.605913,22.500978
8d6d,17,25,255.000000,0.544619,17.457666
6s6h,18,19,255.000000,0.561563,5.745537
7h6h,18,22,254.000000,0.407466,10.935992
8h6h,18,26,253.000000,0.304649,5.116223
9h6h,18,30,254.000000,0.655178,10.758481
7s6s,19,23,256.000000,0.433304,12.585559
8s6s,19,27,254.000000,0.335950,6.598701
9s6s,19,31,255.000000,0.673316,13.119913
7d7c,20,21,255.000000,0.600570,7.464852
7h7c,20,22,254.000000,0.574517,5.917777
7s7c,20,23,255.000000,0.577241,6.124889
8c7c,20,24,253.000000,0.311243,5.133934
9c7c,20,28,254.000000,0.651131,10.405962
7h7d,21,22,255.000000,0.600570,7.464852
7s7d,21,23,256.000000,0.603222,7.695599
8d7d,21,25,255.000000,0.550400,17.836960
7s7h,22,23,255.000000,0.577241,6.124889
8h7h,22,26,253.000000,0.311243,5.133934
9h7h,22,30,254.000000,0.651131,10.405962
8s7s,23,27,254.000000,0.342377,6.626869
9s7s,23,31,255.000000,0.669768,12.778577
8d8c,24,25,253.000000,0.620969,8.384621
8h8c,24,26,252.000000,0.593202,6.609667
8s8c,24,27,252.000000,0.595024,6.748466
9c8c,24,28,253.000000,0.648862,10.224512
Ac8c,24,48,240.000000,0.367262,1.889692
8h8d,25,26,253.000000,0.620969,8.384621
8s8d,25,27,253.000000,0.622783,8.533270
Ad8d,25,49,243.000000,0.617554,19.752869
8s8h,26,27,252.000000,0.595024,6.748466
9h8h,26,30,253.000000,0.648862,10.224512
Ah8h,26,50,240.000000,0.367262,1.889692
9s8s,27,31,253.000000,0.667319,12.572193
As8s,27,51,241.000000,0.399300,3.068807
9h9c,28,30,254.000000,0.915028,49.535686
9s9c,28,31,254.000000,0.916158,49.343765
Kc9c,28,44,247.000000,0.684474,12.956722
Ac9c,28,48,241.000000,0.701025,14.089995
9s9h,30,31,254.000000,0.916158,49.343765
Kh9h,30,46,247.000000,0.684474,12.956722
Ah9h,30,50,241.000000,0.701025,14.089995
Ks9s,31,47,248.000000,0.703397,15.459953
As9s,31,51,242.000000,0.720189,16.810909
TdTc,32,33,249.000000,0.705243,14.152143
ThTc,32,34,248.000000,0.677963,11.947198
TsTc,32,35,248.000000,0.679930,12.053075
JcTc,32,36,246.000000,0.248799,2.785918
QcTc,32,40,246.000000,0.254326,2.495972
KcTc,32,44,244.000000,0.275499,2.156199
AcTc,32,48,238.000000,0.391546,2.023598
ThTd,33,34,249.000000,0.705243,14.152143
TsTd,33,35,249.000000,0.707203,14.307524
JdTd,33,37,248.000000,0.520713,15.812820
QdTd,33,41,248.000000,0.528448,16.062895
KdTd,33,45,246.000000,0.549772,16.720726
AdTd,33,49,241.000000,0.636236,20.522280
TsTh,34,35,248.000000,0.679930,12.053075
JhTh,34,38,246.000000,0.248799,2.785918
QhTh,34,42,246.000000,0.254326,2.495972
KhTh,34,46,244.000000,0.275499,2.156199
AhTh,34,50,238.000000,0.391546,2.023598
JsTs,35,39,246.000000,0.285791,3.980477
QsTs,35,43,246.000000,0.291790,3.808344
KsTs,35,47,245.000000,0.312181,3.351192
AsTs,35,51,239.000000,0.423332,3.390066
JdJc,36,37,245.000000,0.740938,16.913038
JhJc,36,38,244.000000,0.714657,14.740606
JsJc,36,39,244.000000,0.716507,14.802626
QcJc,36,40,244.000000,0.263452,2.510177
KcJc,36,44,242.000000,0.298451,2.119752
AcJc,36,48,236.000000,0.429087,2.139558
AdJc,36,49,238.000000,0.469056,4.612151
AhJc,36,50,236.000000,0.429087,2.139092
AsJc,36,51,237.000000,0.430000,2.317883
JhJd,37,38,245.000000,0.740938,16.913038
JsJd,37,39,245.000000,0.742781,17.021633
QdJd,37,41,246.000000,0.534645,16.512436
KdJd,37,45,244.000000,0.565247,17.211670
AcJd,37,48,237.000000,0.461874,3.138379
AdJd,37,49,239.000000,0.660870,21.168976
AhJd,37,50,237.000000,0.461874,3.138379
AsJd,37,51,238.000000,0.462830,3.283235
JsJh,38,39,244.000000,0.716507,14.802626
QhJh,38,42,244.000000,0.263452,2.510177
KhJh,38,46,242.000000,0.298451,2.119752
AcJh,38,48,236.000000,0.429087,2.139092
AdJh,38,49,238.000000,0.469056,4.612151
AhJh,38,50,236.000000,0.429087,2.139558
AsJh,38,51,237.000000,0.430000,2.317883
QsJs,39,43,244.000000,0.300565,4.001156
KsJs,39,47,243.000000,0.334167,3.427219
AcJs,39,48,236.000000,0.430964,2.320175
AdJs,39,49,238.000000,0.470917,4.758077
AhJs,39,50,236.000000,0.430964,2.320175
AsJs,39,51,237.000000,0.459116,3.757705
QdQc,40,41,245.000000,0.779553,21.303780
QhQc,40,42,244.000000,0.752954,19.056236
QsQc,40,43,244.000000,0.754825,19.053095
KcQc,40,44,242.000000,0.336159,2.113465
KdQc,40,45,243.000000,0.376398,3.951035
KhQc,40,46,242.000000,0.336159,2.114053
KsQc,40,47,243.000000,0.337370,2.314140
AcQc,40,48,236.000000,0.466748,2.611924
AdQc,40,49,238.000000,0.506612,5.377231
AhQc,40,50,236.000000,0.466748,2.611953
AsQc,40,51,237.000000,0.467647,2.802948
QhQd,41,42,245.000000,0.779553,21.303780
QsQd,41,43,245.000000,0.781416,21.346622
KcQd,41,44,243.000000,0.372183,3.572320
KdQd,41,45,244.000000,0.590379,17.670326
KhQd,41,46,243.000000,0.372183,3.572320
KsQd,41,47,244.000000,0.373419,3.747820
AcQd,41,48,237.000000,0.500241,4.038604
AdQd,41,49,239.000000,0.685924,21.955124
AhQd,41,50,237.000000,0.500241,4.038604
AsQd,41,51,238.000000,0.501180,4.147302
QsQh,42,43,244.000000,0.754825,19.053095
KcQh,42,44,242.000000,0.336159,2.114053
KdQh,42,45,243.000000,0.376398,3.951035
KhQh,42,46,242.000000,0.336159,2.113465
KsQh,42,47,243.000000,0.337370,2.314140
AcQh,42,48,236.000000,0.466748,2.611953
AdQh,42,49,238.000000,0.506612,5.377231
AhQh,42,50,236.000000,0.466748,2.611924
AsQh,42,51,237.000000,0.467647,2.802948
KcQs,43,44,242.000000,0.337873,2.377489
KdQs,43,45,243.000000,0.378104,4.203406
KhQs,43,46,242.000000,0.337873,2.377489
KsQs,43,47,243.000000,0.370165,3.658929
AcQs,43,48,236.000000,0.468646,2.830040
AdQs,43,49,238.000000,0.508495,5.480662
AhQs,43,50,236.000000,0.468646,2.830040
AsQs,43,51,237.000000,0.495084,4.656378
KdKc,44,45,240.000000,0.804154,24.524315
KhKc,44,46,239.000000,0.773564,22.131220
KsKc,44,47,240.000000,0.776221,22.184256
AcKc,44,48,233.000000,0.496798,3.149281
AdKc,44,49,236.000000,0.536494,6.147017
AhKc,44,50,234.000000,0.496812,3.177346
AsKc,44,51,235.000000,0.497683,3.359160
KhKd,45,46,240.000000,0.804154,24.524315
KsKd,45,47,241.000000,0.806710,24.636112
AcKd,45,48,235.000000,0.533415,5.395180
AdKd,45,49,236.000000,0.705838,21.924885
AhKd,45,50,235.000000,0.533415,5.395180
AsKd,45,51,236.000000,0.534313,5.518637
KsKh,46,47,240.000000,0.776221,22.184256
AcKh,46,48,234.000000,0.496812,3.177346
AdKh,46,49,236.000000,0.536494,6.147017
AhKh,46,50,233.000000,0.496798,3.149281
AsKh,46,51,235.000000,0.497683,3.359160
AcKs,47,48,235.000000,0.497483,3.334080
AdKs,47,49,237.000000,0.537176,6.247447
AhKs,47,50,235.000000,0.497483,3.334080
AsKs,47,51,235.000000,0.522261,5.400293
AdAc,48,49,229.000000,0.842949,27.631514
AhAc,48,50,227.000000,0.808047,24.705687
AsAc,48,51,228.000000,0.811093,24.788006
AhAd,49,50,229.000000,0.842949,27.631514
AsAd,49,51,230.000000,0.845859,27.808800
AsAh,50,51,228.000000,0.811093,24.788006

# PLAYER: IP
hands_count: 273
hand,card1,card2,weight,equity,ev
2d2c,0,1,189.000000,0.438937,4.566765
2h2c,0,2,189.000000,0.416106,3.864703
2s2c,0,3,189.000000,0.416784,3.918917
Ac2c,0,48,169.000000,0.371678,5.459080
2h2d,1,2,189.000000,0.438937,4.566765
2s2d,1,3,189.000000,0.439616,4.675207
Ad2d,1,49,170.000000,0.613173,27.017342
2s2h,2,3,189.000000,0.416784,3.918917
Ah2h,2,50,169.000000,0.371678,5.459080
As2s,3,51,170.000000,0.401206,7.997176
3h3c,4,6,189.000000,0.889242,53.957207
3s3c,4,7,189.000000,0.889252,54.018806
5c3c,4,12,184.000000,0.788104,35.864929
Ac3c,4,48,169.000000,0.476107,6.642512
3s3h,6,7,189.000000,0.889252,54.018806
5h3h,6,14,184.000000,0.788104,35.864929
Ah3h,6,50,169.000000,0.476107,6.642512
As3s,7,51,170.000000,0.502977,9.742035
4d4c,8,9,185.000000,0.457338,5.049837
4h4c,8,10,185.000000,0.433470,4.119317
4s4c,8,11,186.000000,0.432345,4.142663
5c4c,8,12,183.000000,0.495838,7.319903
6c4c,8,16,180.000000,0.385948,12.797112
Ac4c,8,48,168.000000,0.384785,6.631670
4h4d,9,10,185.000000,0.457338,5.049837
4s4d,9,11,186.000000,0.456321,5.207613
5d4d,9,13,183.000000,0.676431,22.674759
6d4d,9,17,181.000000,0.583523,24.194366
Ad4d,9,49,169.000000,0.621415,28.229588
4s4h,10,11,186.000000,0.432345,4.142663
5h4h,10,14,183.000000,0.495838,7.319903
6h4h,10,18,180.000000,0.385948,12.797112
Ah4h,10,50,168.000000,0.384785,6.631670
6s4s,11,19,182.000000,0.411355,14.606274
As4s,11,51,170.000000,0.412983,9.312053
5d5c,12,13,179.000000,0.898406,53.738415
5h5c,12,14,179.000000,0.887425,53.589958
6c5c,12,16,178.000000,0.505104,7.338397
7c5c,12,20,178.000000,0.497483,6.707249
Kc5c,12,44,170.000000,0.502086,7.041684
Ac5c,12,48,165.000000,0.514708,6.786016
5h5d,13,14,179.000000,0.898406,53.738415
6d5d,13,17,179.000000,0.683931,22.708870
7d5d,13,21,179.000000,0.680244,22.013885
Kd5d,13,45,171.000000,0.704200,26.357180
Ad5d,13,49,166.000000,0.723135,29.345398
6h5h,14,18,178.000000,0.505104,7.338397
7h5h,14,22,178.000000,0.497483,6.707249
Kh5h,14,46,170.000000,0.502086,7.041684
Ah5h,14,50,165.000000,0.514708,6.786016
6d6c,16,17,177.000000,0.522490,7.016368
