# HAND DATA FORMAT 1.0
board_size: 3
board: 3d 5s 9d
pot_oop: 30
pot_ip: 20
current_player: 1

# PLAYER: OOP
hands_count: 189
hand,card1,card2,weight,equity,ev
5c4c,8,12,61.178135,0.555738,16.482121
Ac4c,8,48,136.615967,0.424912,15.641524
5d4d,9,13,68.882446,0.712655,29.729698
Ad4d,9,49,146.920944,0.648315,35.575169
5h4h,10,14,61.178135,0.555738,16.482121
Ah4h,10,50,136.615967,0.424912,15.641524
As4s,11,51,116.383026,0.452030,17.979195
6c5c,12,16,108.944916,0.568273,16.285431
7c5c,12,20,72.549255,0.561103,15.809095
8c5c,12,24,70.475220,0.557572,15.684277
Ac5c,12,48,117.403397,0.572206,16.629457
6d5d,13,17,81.031708,0.724227,30.234068
7d5d,13,21,95.550606,0.721531,30.022377
8d5d,13,25,91.787804,0.724144,30.314657
Ad5d,13,49,170.352173,0.758826,37.525841
6h5h,14,18,108.944916,0.568273,16.285431
7h5h,14,22,72.549255,0.561103,15.809095
8h5h,14,26,70.475220,0.557572,15.684277
Ah5h,14,50,117.403397,0.572206,16.629457
6d6c,16,17,81.933319,0.584423,17.037336
6h6c,16,18,89.935760,0.558832,15.523849
6s6c,16,19,95.717903,0.561563,15.739472
7c6c,16,20,152.079239,0.407466,20.935539
8c6c,16,24,169.368439,0.304649,15.113733
9c6c,16,28,107.972511,0.655178,20.746691
6h6d,17,18,81.933319,0.584423,17.037336
6s6d,17,19,84.762901,0.587084,17.330460
7d6d,17,21,104.649231,0.605913,32.490719
8d6d,17,25,110.132874,0.544619,27.451944
6s6h,18,19,95.717903,0.561563,15.739472
7h6h,18,22,152.079239,0.407466,20.935539
8h6h,18,26,169.368439,0.304649,15.113733
9h6h,18,30,107.972511,0.655178,20.746691
7s6s,19,23,151.837631,0.433304,22.586481
8s6s,19,27,146.867767,0.335950,16.594336
9s6s,19,31,101.894394,0.673316,23.113373
7d7c,20,21,83.125252,0.600570,17.455423
7h7c,20,22,78.487015,0.574517,15.922594
7s7c,20,23,80.722359,0.577241,16.120422
8c7c,20,24,165.251740,0.311243,15.132929
9c7c,20,28,125.827705,0.651131,20.401684
7h7d,21,22,83.125252,0.600570,17.455423
7s7d,21,23,71.362038,0.603222,17.685686
8d7d,21,25,122.081642,0.550400,27.835730
7s7h,22,23,80.722359,0.577241,16.120422
8h7h,22,26,165.251740,0.311243,15.132929
9h7h,22,30,125.827705,0.651131,20.401684
8s7s,23,27,142.334030,0.342377,16.623322
9s7s,23,31,120.114311,0.669768,22.766329
8d8c,24,25,91.803230,0.620969,18.371208
8h8c,24,26,63.591541,0.593202,16.609932
8s8c,24,27,50.446281,0.595024,16.745283
9c8c,24,28,130.580536,0.648862,20.213705
Ac8c,24,48,0.000000,0.000000,0.000000
8h8d,25,26,91.803230,0.620969,18.371208
8s8d,25,27,79.157448,0.622783,18.521229
Ad8d,25,49,128.003159,0.617554,29.750702
8s8h,26,27,50.446281,0.595024,16.745283
9h8h,26,30,130.580536,0.648862,20.213705
Ah8h,26,50,0.000000,0.000000,0.000000
9s8s,27,31,126.119919,0.667319,22.559959
As8s,27,51,76.066589,0.399300,13.042849
9h9c,28,30,125.342674,0.915028,59.524864
9s9c,28,31,147.870117,0.916158,59.332386
Kc9c,28,44,103.052719,0.684474,22.938862
Ac9c,28,48,141.411911,0.701025,24.089130
9s9h,30,31,147.870117,0.916158,59.332386
Kh9h,30,46,103.052719,0.684474,22.938862
Ah9h,30,50,141.411911,0.701025,24.089130
Ks9s,31,47,110.997971,0.703397,25.442402
As9s,31,51,148.312759,0.720189,26.804544
TdTc,32,33,145.202408,0.705243,24.149616
ThTc,32,34,121.102867,0.677963,21.933882
TsTc,32,35,132.896408,0.679930,22.049822
JcTc,32,36,85.822296,0.248799,12.779057
QcTc,32,40,71.428246,0.254326,12.488716
KcTc,32,44,0.418329,0.275499,12.157076
AcTc,32,48,0.000000,0.000000,0.000000
ThTd,33,34,145.202408,0.705243,24.149616
TsTd,33,35,141.514648,0.707203,24.310474
JdTd,33,37,137.914566,0.520713,25.813679
QdTd,33,41,141.120209,0.528448,26.058525
KdTd,33,45,153.333694,0.549772,26.721800
AdTd,33,49,144.617599,0.636236,30.519711
TsTh,34,35,132.896408,0.679930,22.049822
JhTh,34,38,85.822296,0.248799,12.779057
QhTh,34,42,71.428246,0.254326,12.488716
KhTh,34,46,0.418329,0.275499,12.157076
AhTh,34,50,0.000000,0.000000,0.000000
JsTs,35,39,161.885071,0.285791,13.977043
QsTs,35,43,197.702377,0.291790,13.807424
KsTs,35,47,97.121559,0.312181,13.333565
AsTs,35,51,142.277557,0.423332,13.391739
JdJc,36,37,142.712387,0.740938,26.909615
JhJc,36,38,110.527466,0.714657,24.722712
JsJc,36,39,117.926758,0.716507,24.798790
QcJc,36,40,138.869919,0.263452,12.502357
KcJc,36,44,14.231483,0.298451,12.123196
AcJc,36,48,0.000000,0.000000,0.000000
AdJc,36,49,118.555237,0.469056,14.600235
